Table with column headers in rows 3 and 4											
State FIPS Code	County FIPS Code	Postal Code	Name	Poverty Percent, All Ages	Median Household Income	Image Found?	Headline Type	Headline	Sentiment Rating	Publisher	Date
30	065	MT	Musselshell County	16.0	55,291	2131.jpg	Good	Roundup organization creates unique duck hunt to boost mental health	0.8330	Q2 News	Oct 12, 2023
40	109	OK	Oklahoma County	16.0	61,580	2135.jpg	Good	Popular Basketball Podcast Gives High Praise to OKC Thunder Rookies	0.8980	Sports Illustrated	11/21/2023, 08:00 AM, +0000 UTC
41	065	OR	Wasco County	16.0	60,506	2136.jpg	Good	4-H robotics teams in rural Wasco County qualify for world competition		OSU Extension Service	03/21/2024, 09:34 PM, +0000 UTC
42	027	PA	Centre County	16.0	67,654	2137.jpg	Good	Nunez: New Penn Highlands Community College Centre County Location Aims to Improve Access to Higher Education		Statecollege.com	03/21/2024, 09:23 AM, +0000 UTC
48	309	TX	McLennan County	16.0	63,160	2140.jpg	Good	Foster family of Waco wins USTA Texas award	0.8850	Waco Tribune-Herald	03/19/2024, 04:45 AM, +0000 UTC
53	003	WA	Asotin County	16.0	65,625	2145.jpg	Good	Asotin County to Hold Resource Fair for High School Students with Disabilities	0.1570	Big Country News	10/26/2023, 07:00 AM, +0000 UTC
01	071	AL	Jackson County	16.1	51,965	2147.jpg	Good	Woodville High School recognized at State Board Meeting	0.8390	Jackson County Sentinel	02/14/2024, 08:00 AM, +0000 UTC
06	113	CA	Yolo County	16.1	82,359	2149.jpg	Good	California nonprofit working to make sure no older adult is without food, promotes CalFresh program	0.8600	KCRA Sacramento	01/15/2024, 08:00 AM, +0000 UTC
16	057	ID	Latah County	16.1	60,108	2151.jpg	Good	Latah County Fair inspires joy in competition	0.8650	Moscow-Pullman Daily News	09/17/2021, 07:00 AM, +0000 UTC
19	117	IA	Lucas County	16.1	60,245	2152.jpg	Good	New UK startup seeks to turn US trash into Kentucky treasure	0.7740	UKNow	09/14/2023, 07:00 AM, +0000 UTC
19	179	IA	Wapello County	16.1	61,555	2153.jpg	Good	So happy together: Syracuse transfer Joseph Girard III helps lead Clemson to Sweet 16	0.9490	Ottumwacourier	03/28/2024, 12:11 AM, +0000 UTC
20	111	KS	Lyon County	16.1	55,863	2154.jpg	Good	Lyon County Emergency Communications Center recognized for implementation of cutting edge technology	0.9670	KVOE	09/18/2023, 07:00 AM, +0000 UTC
21	079	KY	Garrard County	16.1	57,748	2156.jpg	Good	An experienced roster combined with new talent sets Lady Jaguars up for success	0.9450	The Sentinel-Echo	08/20/2023, 07:00 AM, +0000 UTC
21	089	KY	Greenup County	16.1	54,462	2157.jpg	Good	Smiling, happy faces': Shop with a Cop includes 130 kids; Christmas dinner feeds 500-plus	0.7450	The Independent	12/20/2023, 08:00 AM, +0000 UTC
21	105	KY	Hickman County	16.1	53,838	2158.jpg	Good	Program offers free legal services to veterans	0.1430	Paducah Sun	11/09/2023, 08:00 AM, +0000 UTC
51	193	VA	Westmoreland County	16.1	61,545	2164.jpg	Good	KD Sunday Spotlight: Top Dog Therapy Team brings joy and 'pawsitivity' to those in need	0.9500	CBS Pittsburgh	08/27/2023, 07:00 AM, +0000 UTC
01	043	AL	Cullman County	16.2	61,774	2166.jpg	Good	‘We’re happy to provide food and fun for our neighbors’	0.9360	The Cullman Tribune	07/09/2023, 07:00 AM, +0000 UTC
05	105	AR	Perry County	16.2	56,640	2168.jpg	Good	Three SEMO nonprofits receive $106000 to address child abuse and neglect	0.7250	Southeast Missourian	01/12/2024, 08:00 AM, +0000 UTC
13	025	GA	Brantley County	16.2	50,370	2169.jpg	Good	PCHS SAT scores best in region	0.6990	Blackshear Times	10/13/2022, 07:00 AM, +0000 UTC
20	021	KS	Cherokee County	16.2	54,965	2171.jpg	Good	Kansas Residents to Enjoy Substantial Savings in 2024	0.9260	KSNF/KODE - FourStatesHomepage.com	01/01/2024, 08:00 AM, +0000 UTC
21	039	KY	Carlisle County	16.2	54,535	2172.jpg	Good	Local Joy Ride campaign wins four ADDYs	0.8710	Danville Advocate	03/12/2024, 07:45 PM, +0000 UTC
36	009	NY	Cattaraugus County	16.2	52,383	2175.jpg	Good	Charlesworth recognized for NYSAAF lifetime achievement award	0.4580	Olean Times Herald	08/07/2023, 07:00 AM, +0000 UTC
39	155	OH	Trumbull County	16.2	54,406	2178.jpg	Good	FFA convention celebrates farming, broadens horizons	0.9440	Ohio Farm Bureau	11/27/2023, 08:00 AM, +0000 UTC
42	021	PA	Cambria County	16.2	54,612	2179.jpg	Good	New Cambria County chief public defender excited to take over, eyes hiring more full-timers	0.6830	TribDem.com	01/06/2024, 08:00 AM, +0000 UTC
45	079	SC	Richland County	16.2	61,010	2180.jpg	Good	SC Pride, LGBT+ organizations want to spread Columbia's queer allyship, activism to state	0.9490	The Post and Courier	10/17/2023, 07:00 AM, +0000 UTC
47	173	TN	Union County	16.2	51,169	2182.jpg	Good	To State: Crockett boys clinch sectional win against Union County	0.7140	Herald & Tribune	03/04/2024, 08:00 AM, +0000 UTC
