Table with column headers in rows 3 and 4											
State FIPS Code	County FIPS Code	Postal Code	Name	Poverty Percent, All Ages	Median Household Income	Image Found?	Headline Type	Headline	Sentiment Rating	Publisher	Date
08	035	CO	Douglas County	3.1	140,768	0000.jpg	Bad	3 found dead at 2 different locations in Douglas County, Colorado		CBS News	Jan 11, 2024
35	028	NM	Los Alamos County	3.7	139,217	0001.jpg	Bad	Los Alamos sheriff, coaches accused of drinking on school property	-0.6230	KOB.com	2023-12-31 16:33:48
51	107	VA	Loudoun County	3.8	167,605	0002.jpg	Bad	Firefighter killed in ‘horrific’ Sterling home explosion identified	-0.7570	WTOP	2024-02-29 16:35:04
48	301	TX	Loving County	3.9	94,716	0003.jpg	Bad	A 43-year-old Socorro man dies in a crash in Loving County		NewsWest9	Sep 15, 2023
49	029	UT	Morgan County	4.0	119,482	0004.jpg	Bad	Woman killed, infant hospitalized in Morgan County wrong-way crash		ABC4 Utah	Jan 6, 2024
13	117	GA	Forsyth County	4.1	130,909	0005.jpg	Bad	Teen caught with stolen gun, drugs after police chase ends in crash on Ga.400, officials say		Fox5 Atlanta	March 8, 2024
47	187	TN	Williamson County	4.1	133,486	0007.jpg	Bad	Middle Tennessee student says she dealt with racism, was called 'monkey' in school	-0.9070	WTVC	2024-02-29 16:36:15
51	610	VA	Falls Church city	4.1	142,513	0008.jpg	Bad	Teen arrested after drug robbery led to shooting, stabbing death of two in Falls Church	N/A	WJLA	May 30th, 2023
34	027	NJ	Morris County	4.4	131,562	0010.jpg	Bad	Morris County Man Charged with Sexual Assault of 13-Year-Old	N/A	Parsippany Focus	July 9, 2023
18	057	IN	Hamilton County	4.5	117,068	0011.jpg	Bad	Woman, 3 children found dead in burning Indiana home had been shot, authorities say	N/A	CBS News	Dec 14, 2023
27	019	MN	Carver County	4.5	117,602	0012.jpg	Bad	14 gang members arrested as part of violent crime strategy	-0.8610	FOX 9 Minneapolis-St. Paul	Aug 16, 2023
39	041	OH	Delaware County	4.6	121,528	0014.jpg	Bad	The Informant at the Heart of the Gretchen Whitmer Kidnapping Plot Was a Liability. So Federal Agents Shut Him Up.	-0.6910	The Intercept	2024-03-06T18:30:21Z
48	397	TX	Rockwall County	4.7	124,291	0015.jpg	Bad	Youth Volunteer at TX Megachurch Charged with Sexual Assault of Child	-0.7680	Julie Roys	2024-03-10 19:30:13
48	085	TX	Collin County	4.8	113,943	0016.jpg	Bad	Texas inmate Ivan Cantu who denied killing 2 people is executed	-0.6200	NBC News	2024-02-29T01:50:50Z
18	059	IN	Hancock County	5.0	87,845	0018.jpg	Bad	Lawsuit filed: Mt. Vernon officials accused of not reporting sexual assault of student	-0.5180	The Daily Reporter - Greenfield Indiana	2023-09-30 19:37:04
